id,sex,length,Diametercontinuous,Height,Wholeweight,Shuckedweight,Visceraweight,Shellweight,classfication
391,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
392,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
393,F,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
394,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
395,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
396,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
397,F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
398,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
399,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
400,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
401,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
402,M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
403,M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
404,F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15
405,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
406,M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15
407,M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15
408,F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
409,F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
410,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
411,F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
412,M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
413,F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13
414,M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
415,F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11
416,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
417,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
418,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
419,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
420,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
421,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
422,M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
423,M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
424,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
425,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
426,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
427,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
428,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
429,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
430,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
431,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
432,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
433,F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
434,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
435,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
436,F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
437,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
438,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
439,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
440,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
441,M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
442,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
443,M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
444,M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9
445,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
446,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
447,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
448,M,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
449,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
450,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
451,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
452,M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
453,I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6
454,F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
455,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
456,F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
457,M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
458,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
459,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6
460,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
461,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
462,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
463,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
464,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
465,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6
466,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
467,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
468,I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6
469,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
470,I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
471,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
472,I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
473,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
474,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
475,I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
476,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
477,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
478,I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
479,I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
480,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
481,I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
482,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
483,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
484,I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
485,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
486,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
487,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
488,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
489,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
490,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
491,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
492,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
493,F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
494,F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
495,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
496,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
497,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
498,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
499,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
500,M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
501,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
502,F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
503,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
504,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
505,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
506,F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
507,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
508,F,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
509,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
510,F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
511,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
512,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
513,M,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
514,F,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
515,F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
516,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
517,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
518,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
519,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
520,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
521,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
522,M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
523,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
524,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
525,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9
526,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
527,M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
528,M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
529,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
530,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15
531,M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
532,F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
533,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
534,F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
535,F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
536,F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
537,F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
538,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
539,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
540,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
541,I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
542,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
543,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
544,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
545,I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
546,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
547,I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
548,I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6
549,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
550,I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6
551,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
552,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
553,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
554,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
555,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
556,I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
557,I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
558,I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
559,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
560,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
561,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
562,I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
563,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
564,I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
565,I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
566,I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6
567,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
568,I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
569,I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
570,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
571,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
572,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
573,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
574,I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
575,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
576,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
577,I,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
578,F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
579,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
580,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
581,I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
582,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
583,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
584,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
585,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
586,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
587,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
588,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
589,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
590,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
591,F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
592,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
593,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
594,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
595,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
596,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
597,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
598,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
599,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
600,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
601,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
602,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
603,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
604,M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
605,I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
606,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
607,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
608,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
609,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
610,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
611,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
612,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
613,I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
614,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
615,M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
616,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
617,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
618,M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
619,F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
620,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
621,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
622,F,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
623,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
624,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
625,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
626,M,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
627,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
628,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
629,F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
630,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
631,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
632,M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
633,F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
634,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
635,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
636,M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
637,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
638,F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
639,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
640,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
641,F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
642,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
643,M,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11
644,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
645,F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
646,F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
647,F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
648,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
649,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
650,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
651,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
652,M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
653,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
654,M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
655,M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
656,F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
657,F,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11
658,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
659,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
660,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
661,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
662,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
663,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
664,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
665,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
666,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
667,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
668,M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
669,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
670,F,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
671,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
672,M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
673,M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
674,F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
675,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
676,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
677,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
678,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
679,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
680,M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10
681,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
682,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10
683,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
684,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
685,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
686,F,0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
687,M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
688,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
689,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
690,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
691,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8
692,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
693,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
694,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
695,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
696,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
697,F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
698,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
699,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12
700,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
701,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
702,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
703,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
704,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
705,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
706,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
707,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
708,I,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6
709,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
710,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
711,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
712,I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
713,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
714,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
715,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
716,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
717,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
718,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
719,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
720,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
721,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
722,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
723,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
724,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
725,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
726,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
727,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
728,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
729,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
730,I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
731,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
